count of covariate missing,covariate,pctNA
0,x1,0
0,pan,0
0,msw05_order,0
0,msw05_genus,0
0,msw05_species,0
33,annual_bp,97.1
32,x1_1_activity_cycle,94.1
5,x5_1_adult_body_mass_g,14.7
4,x8_1_adult_forearm_len_mm,11.8
29,x13_1_adult_head_body_len_mm,85.3
28,x2_1_ageat_eye_opening_d,82.4
27,x3_1_ageat_first_birth_d,79.4
29,x18_1_basal_met_rate_m_lo2hr,85.3
29,x5_2_basal_met_rate_mass_g,85.3
15,x6_1_diet_breadth,44.1
22,x9_1_gestation_len_d,64.7
4,x12_1_habitat_breadth,11.8
34,x14_1_interbirth_interval_d,100
9,x15_1_litter_size,26.5
11,x16_1_litters_per_year,32.4
12,x17_1_max_longevity_m,35.3
15,x5_3_neonate_body_mass_g,44.1
26,x13_2_neonate_head_body_len_mm,76.5
34,x21_1_population_density_n_km2,100
28,x10_1_population_grp_size,82.4
19,x23_1_sexual_maturity_age_d,55.9
31,x10_2_social_grp_size,91.2
4,x12_2_terrestriality,11.8
15,x6_2_trophic_level,44.1
16,x25_1_weaning_age_d,47.1
24,x5_4_weaning_body_mass_g,70.6
33,x13_3_weaning_head_body_len_mm,97.1
32,x5_5_adult_body_mass_g_ext,94.1
34,x5_6_neonate_body_mass_g_ext,100
2,x26_1_gr_area_km2,5.9
2,x26_2_gr_max_lat_dd,5.9
2,x26_3_gr_min_lat_dd,5.9
2,x26_4_gr_mid_range_lat_dd,5.9
2,x26_5_gr_max_long_dd,5.9
2,x26_6_gr_min_long_dd,5.9
2,x26_7_gr_mid_range_long_dd,5.9
2,x27_1_hu_pop_den_min_n_km2,5.9
2,x27_2_hu_pop_den_mean_n_km2,5.9
2,x27_3_hu_pop_den_5p_n_km2,5.9
2,x27_4_hu_pop_den_change,5.9
2,x28_1_precip_mean_mm,5.9
2,x28_2_temp_mean_01deg_c,5.9
2,x30_1_aet_mean_mm,5.9
2,x30_2_pet_mean_mm,5.9
24,log10_mass_specific_production,70.6
0,wos_hits_x,0
0,diet_inv,0
0,diet_vend,0
0,diet_vect,0
0,diet_vfish,0
0,diet_vunk,0
0,diet_scav,0
0,diet_fruit,0
0,diet_nect,0
0,diet_seed,0
0,diet_plant_o,0
0,for_strat_value,0
0,activity_nocturnal,0
0,activity_crepuscular,0
0,activity_diurnal,0
0,body_mass_value,0
16,torp,47.1
16,mig,47.1
16,iucn,47.1
0,wos_hits_y,0
2,aridity,5.9
15,body_size_ratio,44.1
24,postnat_gr,70.6
19,rel_age_sex_mat,55.9
1,sppdens,2.9
3,spp_dens_per_km,8.8
0,craseonycteridae,0
0,emballonuridae,0
0,furipteridae,0
0,hipposideridae,0
0,megadermatidae,0
0,molossidae,0
0,mormoopidae,0
0,mystacinidae,0
0,myzopodidae,0
0,natalidae,0
0,noctilionidae,0
0,nycteridae,0
0,phyllostomidae,0
0,pteropodidae,0
0,rhinolophidae,0
0,rhinopomatidae,0
0,thyropteridae,0
0,vespertilionidae,0
0,wns_status,0
